inventor,inventorLabel,genderLabel,birth
http://www.wikidata.org/entity/Q17522,Hertha Ayrton,féminin,1854-04-28T00:00:00Z
http://www.wikidata.org/entity/Q17524,Tabitha Babbitt,féminin,1779-12-09T00:00:00Z
http://www.wikidata.org/entity/Q18398,Louis Armand,masculin,1905-01-17T00:00:00Z
http://www.wikidata.org/entity/Q18417,Édouard Belin,masculin,1876-03-05T00:00:00Z
http://www.wikidata.org/entity/Q19837,Steve Jobs,masculin,1955-02-24T00:00:00Z
http://www.wikidata.org/entity/Q21469,Valerie Thomas,féminin,1943-02-08T00:00:00Z
http://www.wikidata.org/entity/Q21474,Helen Blanchard,féminin,1840-10-25T00:00:00Z
http://www.wikidata.org/entity/Q21482,Katharine Burr Blodgett,féminin,1898-01-10T00:00:00Z
http://www.wikidata.org/entity/Q21516,Ignazio Porro,masculin,1801-11-25T00:00:00Z
http://www.wikidata.org/entity/Q21826,Edith Clarke,féminin,1883-02-10T00:00:00Z
http://www.wikidata.org/entity/Q21863,Eleanor Coade,féminin,1733-06-03T00:00:00Z
http://www.wikidata.org/entity/Q21901,Josephine Cochrane,féminin,1839-03-08T00:00:00Z
http://www.wikidata.org/entity/Q22677,Michael Hart,masculin,1947-03-08T00:00:00Z
http://www.wikidata.org/entity/Q23810,Alfred Nobel,masculin,1833-10-21T00:00:00Z
http://www.wikidata.org/entity/Q23889,Clive Sinclair,masculin,1940-07-30T00:00:00Z
http://www.wikidata.org/entity/Q26566,Stanford R. Ovshinsky,masculin,1922-11-24T00:00:00Z
http://www.wikidata.org/entity/Q27369,Charles Samuel Franklin,masculin,1879-03-23T00:00:00Z
http://www.wikidata.org/entity/Q28978,Ignacy Łukasiewicz,masculin,1822-03-08T00:00:00Z
http://www.wikidata.org/entity/Q28978,Ignacy Łukasiewicz,masculin,1822-03-23T00:00:00Z
http://www.wikidata.org/entity/Q29538,Olive Dennis,féminin,1885-11-20T00:00:00Z
http://www.wikidata.org/entity/Q31167,Siegfried Marcus,masculin,1831-09-18T00:00:00Z
http://www.wikidata.org/entity/Q32210,Manuel Mondragón,masculin,1859-01-01T00:00:00Z
http://www.wikidata.org/entity/Q34253,Linus Torvalds,masculin,1969-12-28T00:00:00Z
http://www.wikidata.org/entity/Q34286,Alexander Graham Bell,masculin,1847-03-03T00:00:00Z
http://www.wikidata.org/entity/Q34965,Jeri Ellsworth,féminin,1974-08-14T00:00:00Z
http://www.wikidata.org/entity/Q36488,Guglielmo Marconi,masculin,1874-04-25T00:00:00Z
http://www.wikidata.org/entity/Q37064,Alexandre Fleming,masculin,1881-08-06T00:00:00Z
http://www.wikidata.org/entity/Q37193,Robert Koch,masculin,1843-12-11T00:00:00Z
http://www.wikidata.org/entity/Q39246,Richard Feynman,masculin,1918-05-11T00:00:00Z
http://www.wikidata.org/entity/Q39316,Perec Rozenberg,masculin,1919-09-11T00:00:00Z
http://www.wikidata.org/entity/Q39599,Christian Huygens,masculin,1629-04-14T00:00:00Z
http://www.wikidata.org/entity/Q39637,Nicolas Appert,masculin,1749-11-17T00:00:00Z
http://www.wikidata.org/entity/Q40197,Lillian Moller Gilbreth,féminin,1878-05-24T00:00:00Z
http://www.wikidata.org/entity/Q40224,Carl Benz,masculin,1844-11-25T00:00:00Z
http://www.wikidata.org/entity/Q40579,Abdel Rahim al-Kib,masculin,1950-03-02T00:00:00Z
http://www.wikidata.org/entity/Q41239,Constantin Tsiolkovski,masculin,1857-09-17T00:00:00Z
